[13:48.000 --> 14:05.300]  Great. How's everything? How's studies going on? I think the recent topic has been more
[51:56.260 --> 52:03.260]  Okay so principles and methods of representing numbers so as we said in the beginning that computers can.
[52:03.260 --> 52:10.260]  Although computer can process any kind of information which can be audio video images text numbers.
[52:10.260 --> 52:16.260]  But then all these this information is for us to see the see them in a different form.
[52:16.260 --> 52:20.260]  Like it's for the human being to look at the information in many different formats.
[52:20.260 --> 52:27.260]  But at the code level the computer can only understand two values which is zero or one.
[52:27.260 --> 52:37.260]  So anything that you see on the computer anything that you see on the screen or any activity that you perform on the computer that is always converted into the binary form which is zeros and months.
[52:37.260 --> 52:42.260]  So right now we are having a virtual class where I'm speaking something your listening something.
[52:42.260 --> 52:49.260]  I'm displaying something on the screen but in the background the CPU must be processing all this information in the binary in the series of zeros and months.
[52:49.260 --> 52:57.260]  Right so as a part of this chapter we are going to learn about how this different forms of information is actually perceived by the computer system.
[52:57.260 --> 53:04.260]  Now binary system zero and one actually represents low voltage and one is high voltage.
[53:04.260 --> 53:15.260]  And every byte which stores the information comprises of number of bits and each bit is actually register which can hold the current.
[53:15.260 --> 53:22.260]  So when the current is available it marks that as one and when the current is absent that that is treated as zero.
[53:22.260 --> 53:30.260]  So with the registers charging whether it's charged or it is not charged it actually makes out whether it is one or zero.
[53:30.260 --> 53:36.260]  So when there is electrical flow it considers considers that register value or the bit value to be one.
[53:36.260 --> 53:41.260]  And if there is absence of pulse or absence of electricity then that is called a zero.
[53:41.260 --> 53:51.260]  And with those several combinations of zeros and once the computer understands whether it's a it's on or it's off.
[53:51.260 --> 54:02.260]  A byte you may have heard the term byte so a byte comprises of total eight bits and a bit is the smallest unit which can store a value as zero and one.
[54:02.260 --> 54:11.260]  Eight bits together makes one byte okay and one byte can represent 256 possible values.
[54:11.260 --> 54:17.260]  Can somebody explain why two two hundred and fifty six values.
[54:17.260 --> 54:26.260]  It has it has it has it has it has it can represent the values and their.
[54:26.260 --> 54:33.260]  The number of possible values depends on the number of bits by the formula two raised to power number of bits.
[54:33.260 --> 54:37.260]  So if it is two raised to power eight which makes it two hundred and fifty six.
[54:37.260 --> 54:43.260]  So that means in a byte total two hundred and fifty six different values can be stored.
[54:43.260 --> 54:49.260]  If it is a sixteen bits which is two byte then the number of values which can be stored as two raised to power sixteen.
[54:49.260 --> 54:55.260]  And you can calculate that will go to about sixty five thousand some some or value okay.
[54:55.260 --> 55:01.260]  Now the question is it's fine that we can think about a numeric value in the binary format which is easy to calculate.
[55:01.260 --> 55:05.260]  But how does computer understand alphabets or any letters.
[55:05.260 --> 55:10.260]  Does answer is simple that any symbol that you see on your keyboard.
[55:10.260 --> 55:15.260]  That is that has a unique numeric value.
[55:15.260 --> 55:20.260]  Every alphabet or every symbol or every character that you see on your keyboard.
[55:20.260 --> 55:22.260]  That has a unique value.
[55:22.260 --> 55:28.260]  Okay, unique numeric value and what is that value called.
[55:28.260 --> 55:30.260]  What do we call it?
[55:30.260 --> 55:32.260]  Ask you.
[55:32.260 --> 55:36.260]  Ask you value and what does it ask you stand for.
[55:36.260 --> 55:40.260]  American standard.
[55:40.260 --> 55:42.260]  It's cool.
[55:42.260 --> 55:44.260]  Yeah, correct.
[55:44.260 --> 55:56.260]  So absolutely American standard code for information interchange and this is a global recognition of unique values which are given to different alphabets and different characters.
[55:56.260 --> 56:02.260]  So that across the globe any computer can understand this particular unique value.
[56:02.260 --> 56:08.260]  So if you look at the ASCII values for different alphabets you will see you can see this table here.
[56:08.260 --> 56:12.260]  You will see that every letter has a unique value.
[56:12.260 --> 56:17.260]  For example, if you look at capital A.
[56:17.260 --> 56:20.260]  Capital A starts from nine.
[56:20.260 --> 56:26.260]  No, sorry, 65 in decimal capital A ASCII value is 65.
[56:26.260 --> 56:37.260]  So when you actually type capital A on the computer it will look for its numeric value that what is a numeric value and that numeric value will be converted into binary format.
[56:37.260 --> 56:42.260]  And then the system will know that the letter we are talking about is capital A.
[56:42.260 --> 56:47.260]  So all these letters have you can see different ASCII values starting from capital A to capital Z.
[56:47.260 --> 56:49.260]  Z is 90.
[56:49.260 --> 57:01.260]  You don't have to remember all of them but it will be beneficial if you remember the starting and ending ASCII value for uppercase A to Z lowercase A to Z and digits 0 to 9.
[57:01.260 --> 57:06.260]  Even the digits 0 to 9 is actually not treated in the numeric form.
[57:06.260 --> 57:11.260]  0 is not a number one is not a number two is not a number for system.
[57:11.260 --> 57:14.260]  They are also treated as characters just like ABC.
[57:14.260 --> 57:22.260]  So they also have the unique ASCII value for example the unique ASCII value for 0 is 48.
[57:22.260 --> 57:30.260]  So when you actually type 0 the system will find the relevant ASCII value which is 48 that 48 will be converted into binary.
[57:30.260 --> 57:34.260]  And then system will know that we are talking about 0.
[57:34.260 --> 57:37.260]  Similarly 1 is 49 and 9 is 57.
[57:37.260 --> 57:43.260]  So the range that you need to remember is capital A to Z which is 65 to 90.
[57:43.260 --> 57:50.260]  Lowercase A to Z which is 97 to 122 and digits 0 to 9 which is from 48 to 57.
[57:50.260 --> 57:57.260]  If you remember them sometimes you will need them for a programming purpose or for theoretical questions also.
[57:57.260 --> 58:00.260]  Alright so that's about ASCII values.
[58:00.260 --> 58:06.260]  Now moving on.
[58:06.260 --> 58:12.260]  So computers use three main systems to represent numbers binary decimal and hexadecimal.
[58:12.260 --> 58:20.260]  So binary is for the computer decimal number system is something that we use in our day to day life for all kind of mathematical and numerical calculations.
[58:20.260 --> 58:32.260]  And hexadecimal is a form of data representation which is basically used by the programmers as a shorter form of numbers which is not actually decimal and is not actually even binary.
[58:32.260 --> 58:41.260]  So it is used for certain type of information representation which is generally used by the programmers especially when they are writing the codes in the in the assembly language.
[58:41.260 --> 58:49.260]  So binary is for computers decimal is for human being and hexadecimal is for for the programmers.
[58:49.260 --> 58:53.260]  Now every number system has some recognized values.
[58:53.260 --> 58:59.260]  For example binary since it has only two bits so the possible values are 0 and 1.
[58:59.260 --> 59:04.260]  0 is absence of pulse and 1 is presence of pulse.
[59:04.260 --> 59:13.260]  Then we have decimal which has total 10 values which are recognized under decimal which goes from 0 to 9 and that is the number systems that we use for our mathematical purposes.
[59:13.260 --> 59:25.260]  And then comes hexadecimal which comprises of total 16 characters which is 0 to 9 as like decimal and then letters a to f which goes from 10 to 15.
[59:25.260 --> 59:35.260]  So if you have to represent 10 in hexadecimal we don't write 1 0 we write a a represents 10 be represents 11 and finally f represents 15.
[59:35.260 --> 59:41.260]  So total we have 16 letters or 16 characters using hexadecimal number system.
[59:41.260 --> 59:46.260]  Okay we will learn about these conversions little later.
[59:46.260 --> 59:51.260]  Okay now simplest way a computer stores numbers for example 101.
[59:51.260 --> 59:55.260]  What is the format of this number?
[59:55.260 --> 59:56.260]  Binary.
[59:56.260 --> 59:57.260]  Binary.
[59:57.260 --> 01:00:00.260]  What if I remove this tool?
[01:00:00.260 --> 01:00:04.260]  Now what is the format of this number?
[01:00:04.260 --> 01:00:19.260]  It could be binary or it could be decimal both ways right because just because the tool is there as the base for 101 so we can be pretty sure that this is a binary number.
[01:00:19.260 --> 01:00:31.260]  But if we remove the base then it can be a decimal or it can be it can even be hexadecimal like one because 101 is part of binary it is part of decimal it is part of hexadecimal so it could be any number.
[01:00:31.260 --> 01:00:39.260]  So it's important for us to indicate what the base of the number is right now how do we convert it into a decimal number system.
[01:00:39.260 --> 01:00:47.260]  It is entirely done on the basis of the place value of different bits in a particular sequence of once and zeros.
[01:00:47.260 --> 01:00:50.260]  So we'll come to that little later.
[01:00:50.260 --> 01:01:04.260]  Hexadecimal number system is used to shorten the long binary numbers because you think about a programmer who is writing a code in to solve some problem and if they have to deal only with the binary number system it will be so difficult for them to remember such big sequence of values.
[01:01:04.260 --> 01:01:10.260]  Like if it is 8 bit or 16 bit it will be next to impossible to remember so many codes.
[01:01:10.260 --> 01:01:18.260]  So to simplify that they use the hexadecimal number system which is a shorter version of binary number system.
[01:01:18.260 --> 01:01:29.260]  So it's not that the computers can directly understand hexadecimal number system but it's for the programmers to write the programs more efficiently, especially when they are dealing with the assembly language.
[01:01:29.260 --> 01:01:33.260]  The memory addresses are generally represented in the hexadecimal format.
[01:01:33.260 --> 01:01:43.260]  So if you write a program you can actually display the memory address of different variables which is storing the data which will learn when we'll get on to theme B.
[01:01:43.260 --> 01:01:48.260]  But any value which starts with 0x that represents a hexadecimal value.
[01:01:48.260 --> 01:01:56.260]  So if you have preceding two characters 0x followed by certain values that will be called a hexadecimal number system.
[01:01:56.260 --> 01:02:03.260]  Now what does 7FF mean? What is F here?
[01:02:03.260 --> 01:02:05.260]  15.
[01:02:05.260 --> 01:02:11.260]  So this number is actually 7, 15, 15, 3, 10, 9. That's the actual number.
[01:02:11.260 --> 01:02:23.260]  But if we write like that if we write 0x, 7, 15, 15, 3, 10, 9 can you actually say that this is 15?
[01:02:23.260 --> 01:02:26.260]  We cannot say because this says fixed into the number.
[01:02:26.260 --> 01:02:32.260]  So this may look like hexadecimal number 715153109.
[01:02:32.260 --> 01:02:41.260]  So in order to have two digits number represented as one single value we use the hex codes 310 which is A and 9.
[01:02:41.260 --> 01:02:45.260]  So this is why hexadecimal number systems have these letters.
[01:02:45.260 --> 01:02:50.260]  These are generally used for the representation of web colors.
[01:02:50.260 --> 01:02:57.260]  So if you're making a website and you want to have a specific type of color as a background color for your page,
[01:02:57.260 --> 01:03:00.260]  you will be using the hex codes for different colors.
[01:03:00.260 --> 01:03:11.260]  For example, for example, let's say we want to try different colors and see what their code is.
[01:03:11.260 --> 01:03:15.260]  So you see here this is a hex value because it starts with a hash.
[01:03:15.260 --> 01:03:21.260]  Now every color is made up of three bytes.
[01:03:21.260 --> 01:03:24.260]  Each byte represents one single color.
[01:03:24.260 --> 01:03:28.260]  Three bytes together makes one color.
[01:03:28.260 --> 01:03:36.260]  So every byte will hold a component of red, a component of green and a component of blue.
[01:03:36.260 --> 01:03:44.260]  So with the combination of red, green, blue because of which we call it RGB, RGB color that we formulate one single color.
[01:03:44.260 --> 01:03:52.260]  So for example, if you want to make a full red, right, can you tell me what will be the code if you want to have a full red.
[01:03:52.260 --> 01:03:57.260]  Considering that the color code is RGB.
[01:03:57.260 --> 01:04:10.260]  So full component of red because the first two for the first byte FF which is four bits each and four bits collectively is called a nibble.
[01:04:10.260 --> 01:04:16.260]  So we have eight bits which is called a byte, four bits is called a nibble and one bit is one bit.
[01:04:16.260 --> 01:04:21.260]  So every color is made up of two nibbles where each nibble is one hex value.
[01:04:21.260 --> 01:04:32.260]  Now if we say FF that means we are taking full color red FF and remaining two colors we want to make zero so that it's a full red color.
[01:04:32.260 --> 01:04:38.260]  FF zero zero.
[01:04:38.260 --> 01:04:47.260]  And FM zero zero zero zero zero so you can see on the right side it's full red color and that is when the hexadecimal courts are used.
[01:04:47.260 --> 01:04:52.260]  How do we make a full green.
[01:04:52.260 --> 01:05:01.260]  What if you want to be zero zero zero zero zero zero zero zero.
[01:05:01.260 --> 01:05:11.260]  Zero zero FF zero zero gives us a full green and obviously for full blue we have zero zero zero zero FF that makes a full blue.
[01:05:11.260 --> 01:05:17.260]  But it's not always that we always need the full contrast color for each color mode for example RGB.
[01:05:17.260 --> 01:05:26.260]  It could be a mix of all let's say you want to get your walls painted in your house and you have a very specific color that you have painted the walls with.
[01:05:26.260 --> 01:05:30.260]  And next time you want to go to the paint paint shop and you want to get exactly same color.
[01:05:30.260 --> 01:05:47.260]  It will be good if you remember what hex code the paint was created with so that if you go to the paint shop and you tell them that I need a paint which is zero zero zero zero zero zero zero zero zero
[01:05:47.260 --> 01:05:57.260]  three and eight nine so let's say this is the color which came up so next time when you go to the color shop and you say that I want this particular color.
[01:05:57.260 --> 01:06:05.260]  They will mix this color on their machine and they will get you exactly same shade and you can see here as I move this circle left and right.
[01:06:05.260 --> 01:06:15.260]  It will the hex color code will change right so this is where the significance of color code is the other use of color hexadecimal number system is.
[01:06:15.260 --> 01:06:41.260]  The hardware code of your machine like every machine has its own mac address and that mac address is represented by the hex hexadecimal value so if you if I go into my network settings which you can also try you can see here that my Wi-Fi address is this now this is a unique code which is given to each manufacturer.
[01:06:41.260 --> 01:06:48.260]  So if I'm using a math machine the first two letters actually represent which company it belongs to and followed by different series.
[01:06:48.260 --> 01:07:00.260]  I don't know exactly what each part means you can research that that in a mac address what is the meaning of each part of the hexadecimal code but these codes are given to each company in a different format.
[01:07:00.260 --> 01:07:17.260]  Now this number is hexadecimal and this is unique for every computer so basically whenever we send or receive any emails etc it also sends with it the mac address so that if somebody has sent an email which is to be traced back these mac addresses are useful.
[01:07:17.260 --> 01:07:29.260]  This is where the hexadecimal code is used now it can be done in binary but imagine how big that number will be if actually you convert that hexadecimal number into a binary number system.
[01:07:29.260 --> 01:07:34.260]  So that's about the hexadecimal number system.
[01:07:34.260 --> 01:07:55.260]  So this we already discussed capital A is 65 small A is 97 and 0 is 48 the starting numbers if you remember you can find out the values for other characters and when we'll start doing the programming you will learn how we can actually write a program to see the ASCII value for each value each character.
[01:07:55.260 --> 01:08:13.260]  So ASCII uses seven bits which is 0 to 127 and one bit is used for the sign so we'll again study about that later but seven bits are essentially used for information so that's why there are total 0 to 127 characters which is for English letters numbers and symbols.
[01:08:13.260 --> 01:08:34.260]  The limitation of ASCII is this year we had a question in the ID exam which talked about ASCII and another character format which is unique code now one of the limitations for ASCII is that it cannot represent characters from non English language can you tell the reason why why can it not represent other languages.
[01:08:34.260 --> 01:09:02.260]  Because it only has 256 characters yes essentially it can have maximum 127 characters starting from 0 to 127 and that actually can only hold English language if you think about other languages then possibly you need more space to accommodate them so ASCII has that limitation because when the number system came into picture that time computers were only working in English language.
[01:09:02.260 --> 01:09:22.260]  It was much later that computer started to event process information in many different languages so in the initial days those English letters were good enough for the computer to hold and that's why nobody thought about having more space than 127 because 127 can literally store all possible characters that we use on an English alphabet.
[01:09:22.260 --> 01:09:44.260]  It's only with the development of computers that they felt the need for other languages and that is when they brought in more characters from many different languages across the globe which was not able to be to be accommodated in 8 bits of space because 8 bits can store maximum 127 because only 7 bits can be used out of 8.
[01:09:44.260 --> 01:09:54.260]  So they felt the need for all characters and then they increased the size from 8 bits to 16 bits and in 16 bits you can actually have 65,000 characters.
[01:09:54.260 --> 01:10:02.260]  So with 65,000 characters they solved the problem of having the computer work for many different languages and that is what unique code is all about.
[01:10:02.260 --> 01:10:20.260]  So this was a question of I think three or four months in the last exam to basically it was more on it was not directly about the number system but they twisted the question saying that how does the modern computers support internationalism?
[01:10:20.260 --> 01:10:26.260]  How does the modern computer supports the concept of internationalism?
[01:10:26.260 --> 01:10:48.260]  Now when you talk about internationalism it means that supporting every language across the globe and that is where the students have to think about that now the programmers have the flexibility to use unique code in their program to accommodate any program any characters from across the globe which is actually helping us in terms of internationalism.
[01:10:48.260 --> 01:11:06.260]  So it includes all global characters including Chinese are Arabic emojis and mathematical symbols like for example the Chinese character I don't know if we have any Chinese students in our group but this is looks like a Chinese symbol and the unique code character for this is this.
[01:11:06.260 --> 01:11:20.260]  Even though we have two characters character formats ASCII and unique code but in both in unique code also all the ASCII characters have exactly the same numbers it's not that you unique code is different and ASCII is different.
[01:11:20.260 --> 01:11:30.260]  It's just that unique code is the extended form of ASCII so even in unique code capital A has the same unique value 65.
[01:11:30.260 --> 01:11:38.260]  So everything of ASCII is exactly same in unique code and additionally unique code has lot more characters.
[01:11:38.260 --> 01:11:51.260]  So we have ASCII which is 7 bits total 128 characters for example a equal to 0 1 triple 0 triple 0 double 0 1 which is the binary equivalent for 65.
[01:11:51.260 --> 01:12:03.260]  UTF 8 which is 8 to 32 bits total it can store is 1.1 million characters for example this emoji has also an ASCII value which is this.
[01:12:03.260 --> 01:12:13.260]  Similarly we have UTF 16 16 to 32 bits which can store 65,000 plus characters for example this Chinese character has this code.
[01:12:13.260 --> 01:12:25.260]  Real word examples unique code ensures that your name written in Hindi Arabic or Chinese displays correctly on any device and that's what brings internationalism concept.
[01:12:25.260 --> 01:12:37.260]  So that's about the text representation of values in different numeric formats now we are coming on to the next section which is image representation.
[01:12:37.260 --> 01:13:01.260]  How is image actually stored like when you see some image on your computer for example let's display some image let's say let's have a look at this image what do you see here what's the difference between these two images.
[01:13:01.260 --> 01:13:27.260]  Which has better pixels left or right the left one has better pixels right now you can see here in both these images right is actually the different pixels which have a certain color now if you look at the right image you can see these square boxes.
[01:13:27.260 --> 01:13:37.260]  So every square box is actually one pixel and every pixel is capable of holding one value one color value.
[01:13:37.260 --> 01:13:53.260]  If it is black and white it just needs one bit but if it is a color pixel then it would require minimum 8 bits depending on what kind of image it is it will require either one bit which can store black or white or it can require 8 bits.
[01:13:53.260 --> 01:14:01.260]  Not sorry not 8 bits it can require total 8 plus 8 plus 8 24 bits to represent one color.
[01:14:01.260 --> 01:14:15.260]  Here even though the picture is looking much clear right it's much more crisp but even here every pixel has a certain color is just that those pixels are very condensed they are very close to each other.
[01:14:15.260 --> 01:14:25.260]  So when you are looking at this image it looks like a real image of a person here the same image has been pixelated it has been enlarged to an extent that where you can see every pixel.
[01:14:25.260 --> 01:14:35.260]  So when you are looking at this image in the larger size then you will be able to feel the difference as you continue to make it smaller and smaller the picture will start to get more clearer.
[01:14:35.260 --> 01:15:04.260]  So this is all about how the images are stored so on your computer even though we can't see those pixels on your mobile phone or your laptop screen but there are very tiny pixels which makes a complete matrix and every pixel can have one single color and when those colors are combined together it forms a shape but for computer it's not actually an image computer cannot understand that this is the image of Barack Obama what it can see is that if this is one single pixel what is the color of that pixel.
[01:15:04.260 --> 01:15:18.260]  So it's many different pixels which have many different colors which is making it look like an image of a person in front of us but computer doesn't know what this image is because for computer it is just pixels with certain colors as you can see on the right side image.
[01:15:18.260 --> 01:15:47.260]  So monochrome 1 bits per pixel which can be black or white simple icons grade scale which is 8 now monochrome is the image which is completely in black or white it's full black or full white so you just need 1 bit where on on would mean white and off would mean black so you can represent 0 or 1 to represent 1 color which is monochrome.
[01:15:47.260 --> 01:16:16.260]  But gray scale gives you the flexibility to have different shades of whites and whites and blacks making it a gray kind of color so you need more bits for that because you have many different shades of black and white so it requires 8 bits where you can create total 250 shades of gray but for that it won't be possible in one bit because that can only store 0 or 1 so you need 8 bits to have 250 shades of black and white.
[01:16:17.260 --> 01:16:32.260]  Which is basically used for the medical imaging so you may have seen that the x-rays and all the all the medical reports which are black and white they are kind of gray scale and for storing them you need to have 8 bits per pixel.
[01:16:32.260 --> 01:16:59.260]  If you want if you're thinking about a color image something like this then this cannot be completed within 1 bit or 8 bits because as you saw for for a true color to reflect on your screen you have 3 different bytes for each color so red green and blue and with those combinations of RGB we are able to get different shades of colors and that would require minimum 3 minimum 3 bytes.
[01:16:59.260 --> 01:17:12.260]  And that's why we have to treat 24 bits to store an 8 bit for red 8 bit for green and 8 bit for blue and that is used for the digital photos so this is how basically the image formation is done in different forms.
[01:17:14.260 --> 01:17:28.260]  So pure red as we saw red is 255 green is 0 and blue is 0 that's RBG and when you convert that into hexadecimal binary code this is all once and when you convert this into hexadecimal.
[01:17:29.260 --> 01:17:39.260]  This will turn out to be F this is all 0's that means 0 0 and this is again 0 0 so F F 0 0 0 that will give you pure red.
[01:17:40.260 --> 01:17:53.260]  Now you will get the questions in the exams in fact you have this in the assignment also this week to find out the size of color now how do we estimate the size of the color that how much size will it take.
[01:17:53.260 --> 01:18:09.260]  So let's have a look at this example there's a there's an image which is 1920 by 1080 that means the width of the images 1920 pixels so we have 1920 pixels in the bit and height is 180.
[01:18:10.260 --> 01:18:20.260]  So the dimension of images 1920 times 1080 how many pixels do we have in this total can you tell me how many pixels will we have total in this image.
[01:18:20.260 --> 01:18:29.260]  I don't need the definite answer that it will be certain value just tell me what will be a total number of pixels here from this.
[01:18:30.260 --> 01:18:31.260]  1920 time.
[01:18:32.260 --> 01:18:45.260]  Absolutely so the total pixels that this image is comprising of is 1920 times 1080 that is the total number of pixels now how much size each pixel is taking is a 24 bit color.
[01:18:46.260 --> 01:19:13.260]  Right so how much size each picture each pixel is taking 20 bits correct that means 3 bytes so the total size that this image will take is number of pixels times 24 which makes it 497640 bits and when you divide it by number of bytes you will get 6 megabytes so the total size that this image will take is 6 megabytes.
[01:19:13.260 --> 01:19:22.260]  So you will have questions like this in the exam where they will give you the dimensions of the image they will give you the color depth and you will have to find out the total size it will take.
[01:19:23.260 --> 01:19:30.260]  That's a pretty straightforward question the question may also be little more twisted that they may ask you that this is the image this is the dimension of the image.
[01:19:31.260 --> 01:19:39.260]  The person is using one MVP as internet connection on his laptop how much time will it take for the computer to upload that image into the Google Drive.
[01:19:40.260 --> 01:20:00.260]  So you have the dimensions of the image you have the internet speed what what is the bandwidth of your computer network what the internet speed how much time will it take for the image to be uploaded so it's a simple mathematical calculation find out the size find out what is your bandwidth and then find out how much time will it take to upload to the web worldwide web.
[01:20:00.260 --> 01:20:15.260]  So these are some examples smartphone cameras use RGB color depth so to produce realistic photos and MRI scans use gray scale to show subtle difference in tissue density but not necessarily nowadays you have MRI scans which are even full color.
[01:20:15.260 --> 01:20:30.260]  So if it is a gray scale that must be old technology that uses to see the differences in the tissues density for the doctors to get an idea as if there are any any unusual patterns.
[01:20:31.260 --> 01:20:35.260]  Any questions about images before we move to the sound.
[01:20:35.260 --> 01:20:58.260]  Okay, so we we have learned how the images are identified by the computer we have learned about how the alphabets are recognized by the computers now the next is how does it process sound because what I'm talking to you through this microphone is actually getting converted into zeros and wants.
[01:20:58.260 --> 01:21:12.260]  Okay and once it is converted into zeros and wants at the delivery point at your end it is converting that zeros and wants back into the sound format so how is that process happening now that is something which happens through the sound sampling.
[01:21:13.260 --> 01:21:26.260]  There's a concept of sound sampling which is calculated through the amplitude of the sound and the sampling rate is actually the amount of reading which is taken in the sound waves within the given amount of time.
[01:21:28.260 --> 01:21:56.260]  The sound which is perceived by the computer is analog in nature so when I'm talking to this microphone it is going into the computer in the analog form but computer cannot process analog data so it needs to be converted into digital format and that digital format is in the form of zeros and wants right so we'll see some examples as to how this modulation of sound which is in the analog curve is converted into digital so that you get the voice in the same way as I'm speaking from here.
[01:21:57.260 --> 01:22:16.260]  So these are a couple of terms which are used in the sound sampling rate bit depth and channel channel you may have heard 2.1 channel 5.1 channel 8.1 channel as to how many different layers are there in your sound recording so that you can differentiate each channel from one another.
[01:22:17.260 --> 01:22:24.260]  There can be one channel where you can't see any difference if you have two speakers both will work together. There is no way that the sounds will go into different channels.
[01:22:25.260 --> 01:22:34.260]  Second you can have 2.1 channel so that means you are recording the sound for both the channels independently so if there is something which is recorded for left speaker that will only play on left.
[01:22:35.260 --> 01:22:39.260]  If you are recording something for the right speaker it will play on right and if you have merged them together it will play on both.
[01:22:39.260 --> 01:22:46.260]  So that means it will consume double the size because you are you are now recording for 2 different channels.
[01:22:47.260 --> 01:23:02.260]  You will get better quality but then the size will double same goes for 5.1 so that means you are recording your sound into 5 different layers and it will activate one particular speaker at a given point of time and that is how you hear it in the home period system.
[01:23:03.260 --> 01:23:13.260]  How sound is stored so each samples amplitude is stored as binary the higher the sampling rate and bit depth the better the quality.
[01:23:14.260 --> 01:23:25.260]  Let's have a quick look at one video I found very interesting on the YouTube so I'm not sure if you will get the sound but let me know if you can hear this.
[01:23:25.260 --> 01:23:32.260]  Is it audible?
[01:23:33.260 --> 01:23:34.260]  Yes.
[01:23:35.260 --> 01:23:36.260]  Okay.
[01:23:37.260 --> 01:23:53.260]  Alright so let's watch this 4 minute video this very clearly clarifies as to what is sampling rate is what the what is the bit depth and how the sound is converted from analog form to signal is a very interesting video.
[01:23:53.260 --> 01:24:00.260]  Whose link I will share with you but let's watch it together.
[01:24:09.260 --> 01:24:16.260]  If you say something I found here is at least sorry.
[01:24:16.260 --> 01:24:18.260]  I can hear it.
[01:24:18.260 --> 01:24:20.260]  You can hear.
[01:24:20.260 --> 01:24:22.260]  I can hear it.
[01:24:22.260 --> 01:24:25.260]  Martin you are able to hear.
[01:24:25.260 --> 01:24:27.260]  Play it.
[01:24:27.260 --> 01:24:31.260]  Let me let me unshare and see if there is some option to share the voice.
[01:24:31.260 --> 01:24:34.260]  It says share the tab audio.
[01:24:34.260 --> 01:24:41.260]  I think I need to play this another tab so let me do that and I will share just this tab.
[01:24:47.260 --> 01:24:53.260]  Now this should be audible I believe.
[01:24:59.260 --> 01:25:01.260]  And then it will take the sound.
[01:25:01.260 --> 01:25:02.260]  Is it audible now?
[01:25:02.260 --> 01:25:03.260]  Turned it.
[01:25:03.260 --> 01:25:04.260]  I don't love digital.
[01:25:04.260 --> 01:25:05.260]  Proces call.
[01:25:05.260 --> 01:25:06.260]  Yes.
[01:25:06.260 --> 01:25:07.260]  Okay.
[01:25:07.260 --> 01:25:08.260]  Okay.
[01:25:08.260 --> 01:25:09.260]  Let's just sound them.
[01:25:09.260 --> 01:25:14.260]  So you listen to me now and then you listen to a digital recording of my voice.
[01:25:14.260 --> 01:25:18.260]  When I'm speaking to this in a room here it's in an analog form.
[01:25:18.260 --> 01:25:23.260]  So when you're actually speaking to somebody right next to you, the sound will be travelling to you in an analog form.
[01:25:23.260 --> 01:25:27.260]  And what a computer needs to do is convert that into a digital form.
[01:25:27.260 --> 01:25:33.260]  Usually with the use of a microphone and it will take the sound and it turns it from analog to digital.
[01:25:33.260 --> 01:25:35.260]  The process called sampling.
[01:25:35.260 --> 01:25:36.260]  Okay.
[01:25:36.260 --> 01:25:39.260]  That's something that's an important word to remember.
[01:25:39.260 --> 01:25:47.260]  And what it does is this at regular intervals, it measures the height of the amplitude of a sound wave.
[01:25:47.260 --> 01:25:49.260]  And I'll show you what I mean by that.
[01:25:49.260 --> 01:25:52.260]  So let's pop the graph of a sound wave on the right hand side.
[01:25:52.260 --> 01:25:55.260]  So what I'm going to do is draw a kind of a sound graph.
[01:25:55.260 --> 01:25:58.260]  The likes of the problem team and sort of like it physics lesson.
[01:25:58.260 --> 01:26:01.260]  Let's do like a wavy one like this.
[01:26:01.260 --> 01:26:04.260]  And because I'm doing a graph, I should do two things.
[01:26:04.260 --> 01:26:06.260]  I'm going to label the axes.
[01:26:06.260 --> 01:26:09.260]  So one here is the sound wave over time.
[01:26:09.260 --> 01:26:12.260]  And you're wondering what this or the y-axis is.
[01:26:12.260 --> 01:26:14.260]  Well, that's in called amplitude.
[01:26:14.260 --> 01:26:17.260]  So that's the height of sort of the sound wave.
[01:26:17.260 --> 01:26:21.260]  And I've got two things that I need to consider when I'm capturing the sound,
[01:26:21.260 --> 01:26:23.260]  verting it from analog to digital.
[01:26:23.260 --> 01:26:27.260]  The first is how often I take a measurement of the height of that wave.
[01:26:27.260 --> 01:26:30.260]  And that will be called the sampling rate.
[01:26:30.260 --> 01:26:32.260]  Just like that here.
[01:26:32.260 --> 01:26:37.260]  And the other thing is how many options I have to measure the height of that.
[01:26:37.260 --> 01:26:41.260]  And that will come a bit clearer in a little bit when I talk about the bit rate.
[01:26:41.260 --> 01:26:44.260]  So how accurate I can get the height of that sound wave at any given point.
[01:26:44.260 --> 01:26:48.260]  And what I'm going to do is just start off with a fairly low sampling rate.
[01:26:48.260 --> 01:26:49.260]  So I'm going to draw.
[01:26:49.260 --> 01:26:52.260]  And we'll say every thing of something.
[01:26:52.260 --> 01:26:55.260]  And draw five things on the bottom there.
[01:26:55.260 --> 01:26:59.260]  And let's say I haven't got very many options to choose for the height of my sound wave.
[01:26:59.260 --> 01:27:02.260]  So I've got quite a little bit rate as well.
[01:27:02.260 --> 01:27:05.260]  And something works like this every time I take a sample.
[01:27:05.260 --> 01:27:09.260]  I look for when I can next take a sample according to my sampling rate.
[01:27:09.260 --> 01:27:15.260]  And I match the height of the sound wave to the closest bit rate that I've got.
[01:27:15.260 --> 01:27:17.260]  So that's going to be here.
[01:27:17.260 --> 01:27:19.260]  That's going to be probably here.
[01:27:19.260 --> 01:27:22.260]  Here is much stuff over there.
