[05:00.000 --> 05:29.960]  How's everything, guys?
[41:24.960 --> 41:35.960]  And here is the you can see here the password is all encrypted so he showing the evidence that I encrypted the password which can be seen here in the last column so those are the passwords which are encrypted.
[41:35.960 --> 41:39.960]  That was one of his success criteria.
[41:39.960 --> 41:51.960]  The next one is emails passwords and other text fields inputs are filtered and checked for unwanted string characters to avoid client site script injections using PHP reg X.
[41:51.960 --> 42:05.960]  So he has created something to basically remove the spaces before and after to trim the password basically users are automatically logged out of a session after one hour so that was one of his success criteria.
[42:06.960 --> 42:15.960]  That if the users leave their system idle for one hour then it will automatically log off so he has written some code for that so he's showing off here.
[42:15.960 --> 42:27.960]  So this way about eight seven to eight such techniques that you use in your program needs to be shown here shown here how the OTP was coming to his email for resetting the password.
[42:27.960 --> 42:41.960]  So this is actually criteria D in the new format this is one thing which will go to the examiners for them to know how your product is working and second thing is your video of the product.
[42:41.960 --> 42:55.960]  This is also what will go so here you have to make a demonstration of what how your program works.
[42:55.960 --> 43:03.960]  So he's running the product and he's also taken the take in the screen shot.
[43:03.960 --> 43:15.960]  So he's showing step by step how the product is working with an audio voice over.
[43:15.960 --> 43:20.960]  Now can you see this that this product is actually matching with what he presented in criteria B design.
[43:20.960 --> 43:35.960]  There was a dashboard where we are the main menu and then there was a calendar and these are different universities for which deadlines are mentioned here so.
[43:35.960 --> 43:44.960]  This is the student profile page that he created for students to register.
[43:44.960 --> 43:54.960]  This is the university portal layout page where all the universities listings is given if some student wants to apply for a university they can select and find out the details.
[44:14.960 --> 44:29.960]  So that's the video which will go along with criteria so these two are merged into criteria D now video plus criteria C they actually both contribute to criteria D criteria E is same where you okay so go let's go back to the MVP design cycle.
[44:29.960 --> 44:39.960]  So we have inquiring and analyzing which we have developing ideas we have created the solution then comes the evaluation that you will self evaluating the efficiency of your project.
[44:39.960 --> 44:49.960]  As to which all success criteria you manage to meet and which one not met because of any problems and that will go under criteria E evaluation.
[44:49.960 --> 45:06.960]  So here you can see that each success criteria for example if you can recall from criteria A it was secure user registration and login screen with password encryption so here he has shown a screen shot of the product with the remark that it was achieved.
[45:06.960 --> 45:28.960]  Now you don't have a client in the new format there is no need of a client so earlier the students were required to find a client for whom they are developing a solution but now that client concept is gone so you can design literally anything that you feel comfortable with provided it has some real word application you know if you can justify the why your product is useful that is good enough there's no client.
[45:28.960 --> 45:36.960]  If you want you can have a client if you think that you want to develop something for a client that's okay but it's not mandatory anymore.
[45:36.960 --> 45:56.960]  Then application of security with password retrieval using two factor authentication that was second success criteria and he says it was achieved and there's a evidence of that so this is criteria E which has two parts one is evaluation of the success criteria and one is future recommendations.
[45:56.960 --> 46:05.960]  One is the recommendations for future development so what are the things that you think could be done to this project for future enhancements.
[46:05.960 --> 46:21.960]  The word counting comes only for this part which is about 500 words for criteria E so criteria A is 500 words criteria BC no no word count criteria D is 1000 words and criteria E is 500 words.
[46:21.960 --> 46:34.960]  So total there will be 2000 words of documentation which will go as a single document now earlier it used to be five different PDFs 1 2 3 4 and 5.
[46:34.960 --> 46:49.960]  Now all this will be clubbed into one PDF document earlier we used to send the product also but now this is not needed product will not go to the IB is only the documentation which will go.
[46:49.960 --> 46:55.960]  There will be appendix in the appendix you will put the source code of your entire project.
[46:55.960 --> 47:12.960]  Now this is an interview with the client because this was mandatory previously but in the new format this will not be there but you will have the source code for the whole program which is not there in this but source code will go not the product.
[47:12.960 --> 47:41.960]  So this is about I A I mean it was not meant to be covered today but then I got carried away I thought that it will be useful because you have some free time next week so I don't want you to be studying the content but if possible you can spend some time thinking about a possible solution that you would like to develop and do a little bit of research because you won't have any academic pressure next week from Hamoja so you may spend some time looking into what kind of projects you can develop.
[47:41.960 --> 47:49.960]  And what would be the requirements for that? Yes, you have a question.
[47:49.960 --> 48:01.960]  I think I just got a mail from Polyviz.
[48:01.960 --> 48:21.960]  You know, you know, I can't hear you. Your microphone is on but it seems there is some other problem.
[48:21.960 --> 48:31.960]  By any chance can you help Paul is to get in the room.
[48:31.960 --> 48:47.960]  Is Paul is from your school Thomas.
[48:47.960 --> 48:53.960]  I'll send you the link to that.
[48:53.960 --> 49:03.960]  Yeah, my second question was that for component E instead of putting the entire source code can we just link to a GitHub that has the source code.
[49:03.960 --> 49:11.960]  The examiners are not obliged to go anything beyond what has been submitted on IBS by your DB coordinator.
[49:11.960 --> 49:17.960]  So if you put something on GitHub, for example, in Indonesia, GitHub is blocked. We cannot access.
[49:17.960 --> 49:22.960]  So therefore it would be good if the source code is added as an appendix.
[49:22.960 --> 49:27.960]  There is nothing that the examiners are obliged to go on an external source.
[49:27.960 --> 49:40.960]  It has to be all submitted on the IBS. They will only be downloading your folders from there.
[49:40.960 --> 49:47.960]  So we will have a full session on this IA again, where we will go criteria by criteria.
[49:47.960 --> 49:53.960]  Today, I'm just rushed through all the requirements so that you get a holistic idea about what is expected.
[49:53.960 --> 50:02.960]  Now, don't get too tensed about the quality of project because what you just now saw was one of the best projects that I have seen in my career.
[50:02.960 --> 50:06.960]  So it was on really very high end.
[50:06.960 --> 50:09.960]  Not necessarily that the projects have to reach to this level.
[50:09.960 --> 50:14.960]  I mean, even the smaller projects have the potential to score good six or seven.
[50:14.960 --> 50:24.960]  So we will be looking into that those requirements as to what contributes to a good project so that you will have a clarity about the expectations.
[50:24.960 --> 50:31.960]  Okay, but the only thing required is that you should start thinking about what kind of solutions you would like to develop.
[50:31.960 --> 50:35.960]  It doesn't have to be really very ambitious project.
[50:35.960 --> 50:40.960]  It can be any small problem that you can solve through a solution.
[50:40.960 --> 50:54.960]  For example, let's say you know a doctor who runs a clinic small clinic, but that doctor is struggling to give appointments to the patients because the patients come to the clinic.
[50:54.960 --> 51:00.960]  Only to realize that the doctor is not available or the doctor is busy in a surgery or the doctor is busy with other patients.
[51:00.960 --> 51:09.960]  So you thought that if I can develop an online system where the patients will be able to do the prior booking and also look at the doctor schedule.
[51:09.960 --> 51:12.960]  Help the doctor to make system more organized.
[51:12.960 --> 51:18.960]  So that could be a good problem area for which you thought a problem or solution would be useful.
[51:18.960 --> 51:26.960]  It can be for your school. I mean, you may see something like there's a there's a there's a shock of field.
[51:26.960 --> 51:35.960]  Or let's say there's a facility within your school and you think that when you go to use that facility, it is already occupied.
[51:35.960 --> 51:46.960]  So then you you then you the idea comes to your mind that why not we create a school facility booking system which will be visible to all.
[51:46.960 --> 51:49.960]  It will show the calendar. I will show the free slots.
[51:49.960 --> 51:51.960]  So if somebody wants to book that they can book it.
[51:51.960 --> 51:56.960]  It will be visible to all others so that they will never be a class.
[51:56.960 --> 52:00.960]  So these could be I mean, this is how you have to think about a problem area.
[52:00.960 --> 52:05.960]  Okay, this is something I think can be solved using programming using computational thinking.
[52:05.960 --> 52:09.960]  That could be a good project if it has a real word significance.
[52:09.960 --> 52:14.960]  You can even use, you know, you can search on Google.
[52:14.960 --> 52:21.960]  You can use even AI to give you ideas about what could be what what projects could be created.
[52:21.960 --> 52:28.960]  You know, use use the power of AI to work with you as a companion to give you the ideas.
[52:28.960 --> 52:36.960]  Look at 15 to 20 ideas and see which one you would like to pursue and then you can decide and go ahead with that.
[52:36.960 --> 52:44.960]  Okay, so during the holidays, even though I don't recommend that you should be spending too much time starting because we really want you to take some break from studies.
[52:44.960 --> 52:54.960]  At least on the palm of your front, but in case if you have some time, then probably you can look into the ideas.
[52:54.960 --> 52:57.960]  Okay, so going back to the calendar.
[52:57.960 --> 53:02.960]  So introduction to I criteria A and B would be 26th November.
[53:02.960 --> 53:09.960]  And then you will work for two to three weeks and you will submit your first draft of criteria A.
[53:09.960 --> 53:12.960]  Let me share my screen again. Sorry.
[53:14.960 --> 53:42.960]  So so starting from 5th of November until 26th of November, you will only be learning the theoretical concept related to the IA and your actual submission of criteria A document, which is those 500 words document with realistic success criteria.
[53:42.960 --> 53:52.960]  That you would be 12th or 10th of December. So that's when your first draft of criteria A will be submitted on manage back sorry on canvas.
[53:52.960 --> 53:57.960]  Then on 17th of February, you will get the teacher's feedback.
[53:57.960 --> 54:02.960]  Now as a student, you are eligible to get one feedback only from the teachers.
[54:02.960 --> 54:05.960]  There could be any number of consultations.
[54:05.960 --> 54:14.960]  There could be any number of consultations like if you're not clear, suppose about success criteria or you're not clear about how to define the problem statement.
[54:14.960 --> 54:18.960]  You can ask us 100 times. There's no problem.
[54:18.960 --> 54:25.960]  But then once you have submitted your draft, then you will get one feedback from the teacher on your document on basis of that feedback.
[54:25.960 --> 54:30.960]  You will make the corrections and then you will make the final submission of criteria A document.
[54:30.960 --> 54:35.960]  After that, no changes would be allowed.
[54:35.960 --> 54:38.960]  So for every criteria, you will submit first draft.
[54:38.960 --> 54:44.960]  You will get a feedback on first draft. You will then make the changes and make the submission of the final draft.
[54:44.960 --> 54:52.960]  Then after that, this document will be logged. You will not be making any further changes to that document.
[54:52.960 --> 54:57.960]  But between this and this, you can ask questions to the teacher.
[54:57.960 --> 55:03.960]  Even after getting the feedback, if there is anything that is not clear to you, you can clarify that.
[55:03.960 --> 55:10.960]  So teacher will not give you additional feedback, but they can provide you with the clarification of their own feedback.
[55:11.960 --> 55:18.960]  Once that process is over, then what you submit by 3rd of January would be your full final submission of A.
[55:18.960 --> 55:22.960]  So by 5th mid January, we will be done with criteria A.
[55:22.960 --> 55:27.960]  Then we will start criteria B, which will start on 28th Jan.
[55:27.960 --> 55:39.960]  First draft will be submitted here, which means you will start your criteria B from here itself.
[55:40.960 --> 55:44.960]  Now criteria B, in the previous document, you saw it was a very lengthy document.
[55:44.960 --> 55:49.960]  But now the new criteria B is very small. It is 2 to 3 pages.
[55:49.960 --> 55:53.960]  So when we will do next week, week after next, I will show you what exactly is criteria B now.
[55:53.960 --> 55:57.960]  It is very small section of that longer document of criteria B.
[55:57.960 --> 56:00.960]  So as I said, criteria B design is split into two parts.
[56:00.960 --> 56:05.960]  This one is a relatively shorter one, which can be done easily in 1 to 2 weeks.
[56:06.960 --> 56:09.960]  So that's why this is early submission.
[56:09.960 --> 56:16.960]  Like after criteria A, you are getting 2 weeks to complete criteria B first draft.
[56:16.960 --> 56:21.960]  And then you will get the teacher's feedback and based on that, you will work and you will complete your criteria B document.
[56:21.960 --> 56:24.960]  This one is little longer, criteria C.
[56:24.960 --> 56:27.960]  And that's why you see that we have more time for criteria C.
[56:27.960 --> 56:34.960]  This is where you will make that extended document, for which you have 1 to 3, 4, 5,
[56:34.960 --> 56:36.960]  6th week you will submit.
[56:36.960 --> 56:41.960]  So you have a month and a half to complete that long document, which you saw.
[56:41.960 --> 56:44.960]  So that is introduction to I a criteria C.
[56:44.960 --> 56:48.960]  And that will be submitted on 1st of April.
[56:48.960 --> 56:57.960]  You will get the feedback in the next week. We have kept 2 weeks because this is where we will have 1 to 1 interaction also to discuss your design.
[56:58.960 --> 57:04.960]  So teachers will take 2 weeks time to give you the feedback and then criteria C will be finally submitted on 22nd of April.
[57:04.960 --> 57:12.960]  So the early you finish your draft, more time you will have to work on the changes that the teacher will suggest.
[57:12.960 --> 57:23.960]  If you push your submission to the end of this week, the teacher may take little more time to mark your criteria C document.
[57:23.960 --> 57:30.960]  And they may be able to give you the feedback towards the end of 15th April or week 27th week.
[57:30.960 --> 57:33.960]  So you will have only 1 week to complete your draft.
[57:33.960 --> 57:42.960]  So I recommend that you should try and finish as early as possible so that you get this 2 weeks plus this third week to complete your criteria B.
[57:42.960 --> 57:50.960]  And then criteria D, which this is where the programming will actually begin.
[57:50.960 --> 57:53.960]  Until here you don't have any programming.
[57:53.960 --> 58:00.960]  This is where your product development will start 9th of September next year, almost 1 year from now.
[58:00.960 --> 58:06.960]  Little less than 1 year from now. That's when you will start your criteria D.
[58:06.960 --> 58:09.960]  And this has the maximum time because it's a product development.
[58:09.960 --> 58:19.960]  But by the time you reach to this stage, I strongly recommend that you should learn the tools that you are going to use so that you don't end up wasting too much of time learning here.
[58:20.960 --> 58:27.960]  So your summer holidays and the winter holidays can be utilized to learn the tools that you're going to use for your IA.
[58:27.960 --> 58:33.960]  So that when you start off here, you will have no doubts in your mind and you will be able to develop the solution.
[58:33.960 --> 58:39.960]  By this time, we may also have covered a large part of Java programming and the database chapter.
[58:39.960 --> 58:46.960]  So that will give you a good amount of skills and knowledge to be able to develop a product.
[58:47.960 --> 58:52.960]  Your criteria D first draft will come in November 2026.
[58:52.960 --> 58:56.960]  Your teacher's draw feedback again teaches feedback 2 weeks for that.
[58:56.960 --> 59:01.960]  And then your criteria D final submission will be 16th of December.
[59:01.960 --> 59:07.960]  So which is just before the promotion break for Christmas.
[59:07.960 --> 59:15.960]  And then once you're back after Christmas, you will have criteria E, which is a relatively small one.
[59:15.960 --> 59:18.960]  You saw it was just a evaluation of the product.
[59:18.960 --> 59:21.960]  And since it's small, so we are not giving much time for that.
[59:21.960 --> 59:23.960]  So next week will be draft submission.
[59:23.960 --> 59:30.960]  Then you will get the feedback and 17th of February would be criteria E first draft.
[59:30.960 --> 59:37.960]  And then once this is done, then all these documents will be put into one PDF and the final will be submitted.
[59:37.960 --> 59:41.960]  And then your mock exams will begin after that week.
[59:42.960 --> 59:51.960]  So this is pretty much the planning for IA from starting until the end.
[59:51.960 --> 01:00:01.960]  From my experience, I can tell you that the students who don't take up the IA seriously and they don't meet the deadlines, they always struggle in the end.
[01:00:01.960 --> 01:00:12.960]  And then they end up producing something very, very generic IA and which does not give them anything more than 2 or 3 out of 7 in the IA.
[01:00:12.960 --> 01:00:21.960]  So if you really want to score high in the IA, then it's important that you should take self interest because IA is student driven project.
[01:00:21.960 --> 01:00:25.960]  It is completely student driven project. It's your interest.
[01:00:25.960 --> 01:00:32.960]  It's your skills that you have to develop yourself. We are there to guide you, but you need to learn the tools that you are going to use.
[01:00:32.960 --> 01:00:54.960]  We will try and do a mini project using Java and MySQL, which will be, which will give you some good idea about how to create front end, how to create back end, how to make the connectivity between front end and back end, and how to do the data transaction, like showing something on the screen and pushing something from screen to back end.
[01:00:54.960 --> 01:01:12.960]  So we'll do a small project like that for you to get an idea, but beyond that, you have to work yourself in order to develop further skills to meet the project specific requirements.
[01:01:12.960 --> 01:01:24.960]  All right. Any questions about IA?
[01:01:24.960 --> 01:01:32.960]  No zip folder is not allowed. It's one piece. So there are two PDF talk. There are two documents that go are uploaded on the manage back.
[01:01:32.960 --> 01:01:47.960]  There are two documents which are uploaded on the IBS, which is the IBS submission portal. It only accepts one PDF, which is your criteria A to E and another PDF, which is appendix appendix has to be open PDF document.
[01:01:47.960 --> 01:01:52.960]  No zip file allowed.
[01:01:52.960 --> 01:02:04.960]  But then how will like is my code itself would be structured in like while I'm working on it. So for the PDF, do I just put all of the files contents into one PDF or?
[01:02:04.960 --> 01:02:14.960]  Yeah, so see what happens is that the the code in the code source code in a PDF is just an evidence that you have actually worked on the product.
[01:02:14.960 --> 01:02:26.960]  The examiner's just want to look into your code. They may go here and there just to see that this is your own code, but otherwise they don't test the functionality of the product by looking at the code.
[01:02:26.960 --> 01:02:43.960]  It is just a requirement, which needs to be met your actual score will be from criteria C and the document, which will actually show the functionality of your product and the video that you will record.
[01:02:43.960 --> 01:02:47.960]  So our past to work.
[01:02:47.960 --> 01:02:48.960]  Sorry.
[01:02:48.960 --> 01:02:52.960]  Like our website or our past to work.
[01:02:52.960 --> 01:03:03.960]  No, not necessarily. I mean, see, the product will not be examined by the examiner, but you have to show the functionality in the video that you are making.
[01:03:03.960 --> 01:03:10.960]  Okay, so when you have created the video screencast, you are showing the functionality of different screen that this is how I will log in.
[01:03:10.960 --> 01:03:18.960]  This is when I click it goes there when I click here, it goes there. These are my reports, like how you saw the video just now, I played for a student.
[01:03:18.960 --> 01:03:24.960]  That video plus criteria D document, which will have the description of each section of your project.
[01:03:24.960 --> 01:03:33.960]  That's the only way the examinist will know that your product is working or not. They don't run your product. You don't even have to submit your product.
[01:03:33.960 --> 01:03:39.960]  But you will be able to record the screencast only when your product is working.
[01:03:39.960 --> 01:03:42.960]  True. Okay. Thank you, sir.
[01:03:42.960 --> 01:03:49.960]  All right. Okay, guys. So it's already, I think, an R since we are talking about the IA.
[01:03:49.960 --> 01:04:00.960]  So let's get on to task now. So for the SL, I will start with the Boolean simplification, which was 1.2.5 in the subject guide.
[01:04:00.960 --> 01:04:06.960]  So let's have a look at what kind of questions you may expect from the Boolean simplification.
[01:04:06.960 --> 01:04:12.960]  So what is what do you mean by Boolean expression simplification? What does it mean?
[01:04:16.960 --> 01:04:21.960]  Right. Reducing the number of logic gates used. Yes.
[01:04:21.960 --> 01:04:35.960]  So when you design a logic digital circuit, we use the logic gates to make different kind of combinations to give the input and get the output to make the digital systems work.
[01:04:35.960 --> 01:04:39.960]  There's a combination of many different tiny logic gates.
[01:04:39.960 --> 01:04:47.960]  Now, there are two ways of using the logic gates. One using too many logic gates or deriving the same output using less number of logic gates.
[01:04:47.960 --> 01:04:57.960]  So simplification is the process of reducing the number of logic gates so that we may achieve the same output, which may we may get even from the extended list of logic gates.
[01:04:57.960 --> 01:05:03.960]  Now, the simplification of logic gates can be done logic Boolean expressions can be done in two different forms.
[01:05:03.960 --> 01:05:07.960]  One is using the laws of Boolean algebra.
[01:05:07.960 --> 01:05:17.960]  One is the laws of Boolean algebra and I thought that is a little difficult task because sometimes you may not be familiar with the Boolean algebra laws.
[01:05:17.960 --> 01:05:27.960]  Sometimes you may not be able to know which law will be applied here. You may be stuck at certain point, but that is one of the ways of simplifying the Boolean expressions.
[01:05:27.960 --> 01:05:34.960]  The other which is more impactful way and the faster way of simplifying Boolean expressions is using the K maps.
[01:05:34.960 --> 01:05:48.960]  Now, in your IBDP exam, you may get the questions from both sites that they may ask you to do it using K map or they may ask you to do it using the simplification using the Boolean laws of Boolean algebra.
[01:05:48.960 --> 01:05:52.960]  So first, let's have a look at the laws of Boolean algebra.
[01:05:52.960 --> 01:06:04.960]  Also, in the document that I shared with you in the content folder, we have listed about 7 to 8 laws which are more than enough for you to learn.
[01:06:04.960 --> 01:06:10.960]  So you just have to learn how to simplify the Boolean expressions using those laws.
[01:06:10.960 --> 01:06:27.960]  One thing good, which IB has confirmed, always not mentioned in the subject guide, but they have confirmed that for any kind of simplification where the laws of Boolean algebra will be required, the laws will already be given in the question paper.
[01:06:27.960 --> 01:06:37.960]  So you don't really have to memorize those laws, but you should know how to apply them because even if the laws are given, if you don't know how to apply them, you will not be able to solve it.
[01:06:37.960 --> 01:06:44.960]  So that's what I was talking to you about in the content folder 1.2.5 PDF.
[01:06:44.960 --> 01:06:51.960]  I have added little more content into that with few additional examples of what IB questions will look like.
[01:06:51.960 --> 01:06:55.960]  So let's have a look at what I have added.
[01:06:56.960 --> 01:07:07.960]  Now these are the laws of Boolean algebra. For example, identity law, which says A plus 0 equal to A and A.1 is always equal to A.
[01:07:07.960 --> 01:07:10.960]  Now you can test this using a truth table.
[01:07:10.960 --> 01:07:19.960]  You can use a truth table. You will see that the same output will come with whether you write this or you just take A. Both will be identical.
[01:07:19.960 --> 01:07:28.960]  Like for example, if you take a truth table of A plus A, so A again A 0 0 take the combinations add them together.
[01:07:28.960 --> 01:07:36.960]  The final output will look exactly like what A was and that is called repeating same input has no effect.
[01:07:36.960 --> 01:07:43.960]  So A plus A is A and A dot A is A. Now these are the laws of Boolean algebra.
[01:07:43.960 --> 01:07:50.960]  So this one is null domination. So when we add 1 to any variable, any input the output is always 1.
[01:07:50.960 --> 01:07:57.960]  When we multiply 0 to any input, the output is always 0. That's called null domination.
[01:07:57.960 --> 01:08:09.960]  Similarly, we have inverse law law of inverse Boolean expression where A plus not A is always 1, which means if A is 1, not A will be 0.
[01:08:09.960 --> 01:08:18.960]  1 plus 0 is 1 and if this is already 0, not A will be 1. So 0 plus 1 is also 1 and A dot not A is always 0.
[01:08:18.960 --> 01:08:22.960]  This is called law of inverse in Boolean expression.
[01:08:22.960 --> 01:08:31.960]  Then we have a commutative law where A plus B can also be written as B plus A and A dot B equal to B dot A.
[01:08:31.960 --> 01:08:39.960]  Associative law, this is important. A plus B plus C can also be written as A plus B plus C in the bracket.
[01:08:39.960 --> 01:08:43.960]  So the output will be unchanged. You can try this using truth table.
[01:08:43.960 --> 01:08:50.960]  First you add A plus B. Then you add C to it. The final output will be same as when you do A plus.
[01:08:50.960 --> 01:08:55.960]  First you do B plus C and add that output to A. That law is called associative law.
[01:08:55.960 --> 01:09:02.960]  Then we have distributive law that means A dot B plus C can also be written as A dot B plus A dot C.
[01:09:02.960 --> 01:09:12.960]  That's distributive law. Then we have absorption law where A plus A B A dot B equal to A because you can take A common here.
[01:09:12.960 --> 01:09:18.960]  So it will be 1 plus B and anything added to 1 is always 1.
[01:09:18.960 --> 01:09:25.960]  So A dot 1 is A. So the final output is A and that law is called absorption law.
[01:09:25.960 --> 01:09:33.960]  Double negation which means if you do A bar and again A bar the output will be A.
[01:09:33.960 --> 01:09:39.960]  Because if A is 0, inverse of A will be 1 and inverse of 1 will be 0.
[01:09:39.960 --> 01:09:45.960]  So A was 0 and output is also 0. So this also called law of double complement.
[01:09:45.960 --> 01:09:50.960]  So when you have double complement on any variables, the output is always that variable.
[01:09:50.960 --> 01:09:56.960]  This is most important day Morgan's law where A plus B whole bar.
[01:09:56.960 --> 01:10:03.960]  You can see this is not symbol, but in general you will see a bar above A plus B.
[01:10:03.960 --> 01:10:09.960]  A plus B whole bar equal to A bar dot B bar. This is a very important law.
[01:10:09.960 --> 01:10:19.960]  And 99 percent chances that any Boolean expression simplification in the exam will be based on the Morgan's law.
[01:10:19.960 --> 01:10:31.960]  So not A plus B equal to A bar dot B bar and similarly A plus B whole A dot B whole bar will be A bar plus B bar.
[01:10:31.960 --> 01:10:34.960]  So this is the second one. Let me put it in the second line.
[01:10:34.960 --> 01:10:39.960]  Not A dot B equal to A bar plus B bar. This is called the Morgan's law.
[01:10:39.960 --> 01:10:44.960]  Now how the question will come in the exam? They will ask you something like this.
[01:10:44.960 --> 01:10:51.960]  Q equal to A plus A dot B Q. Now this is the Boolean expression and you have to simplify this.
[01:10:51.960 --> 01:10:57.960]  And they have given a hint here that use absorption law, but you will not only have this much.
[01:10:57.960 --> 01:11:03.960]  But they will also give you what absorption law is about.
[01:11:03.960 --> 01:11:10.960]  So they will also give you this and this.
[01:11:10.960 --> 01:11:17.960]  This will also be given in the question paper that your question will be like this.
[01:11:17.960 --> 01:11:21.960]  I think sir some issues with formatting.
[01:11:21.960 --> 01:11:28.960]  Where? So for that example, one, two equals A plus A.
[01:11:28.960 --> 01:11:30.960]  Yeah, yeah, yeah, yeah, yeah, every big three times.
[01:11:30.960 --> 01:11:32.960]  Yeah.
[01:11:32.960 --> 01:11:34.960]  Which one this one?
[01:11:34.960 --> 01:11:35.960]  Yes.
[01:11:35.960 --> 01:11:41.960]  Q equal to A plus A dot A dot B.
[01:11:41.960 --> 01:11:44.960]  And that is repeated.
[01:11:44.960 --> 01:11:47.960]  This should go to the next line. Sorry.
[01:11:47.960 --> 01:11:50.960]  The same thing in the same line. Yeah, that's a formatting issue.
[01:11:50.960 --> 01:11:54.960]  So the question was A plus no.
[01:11:54.960 --> 01:11:57.960]  Where's the expression? The expression is this right?
[01:11:57.960 --> 01:12:01.960]  Q equal to A plus A dot B.
[01:12:01.960 --> 01:12:07.960]  Why is it repeated three times?
[01:12:07.960 --> 01:12:15.960]  Okay, now it says apply absorption law, which says q equal to a q equal to a q equal to a.
[01:12:15.960 --> 01:12:19.960]  It's every much expression. It's repeated three times.
[01:12:19.960 --> 01:12:21.960]  It's also repeated.
[01:12:21.960 --> 01:12:24.960]  Okay, I will correct this.
[01:12:24.960 --> 01:12:27.960]  Yeah, this is a repetition issue.
[01:12:27.960 --> 01:12:28.960]  Right.
[01:12:28.960 --> 01:12:33.960]  So anyway, the idea here is that for the exam questions,
[01:12:33.960 --> 01:12:36.960]  you will be given an expression, which is to be solved,
[01:12:36.960 --> 01:12:39.960]  which is here q equal to A plus A dot B.
[01:12:39.960 --> 01:12:41.960]  And then you have to simplify this.
[01:12:41.960 --> 01:12:44.960]  So you can see here that A can be taken common.
[01:12:44.960 --> 01:12:48.960]  So you can say A is common here one plus B.
[01:12:48.960 --> 01:12:49.960]  Right.
[01:12:49.960 --> 01:12:51.960]  And then one plus B is one.
[01:12:51.960 --> 01:12:55.960]  So this becomes a dot one, which is equal to a.
[01:12:55.960 --> 01:12:59.960]  So A is actually if you are creating this logic,
[01:12:59.960 --> 01:13:01.960]  if you are creating this digital circuit,
[01:13:01.960 --> 01:13:06.960]  which requires this equation, you don't have to use an or gate and an and gate.
[01:13:06.960 --> 01:13:10.960]  It's just one input, which will be same as this whole expression.
[01:13:10.960 --> 01:13:13.960]  So A plus A dot B is A.
[01:13:13.960 --> 01:13:15.960]  And this is how you will simplify.
[01:13:15.960 --> 01:13:17.960]  So you will have a question given.
[01:13:17.960 --> 01:13:23.960]  For example, this is the question q equal to A dot B plus A dot not B q.
[01:13:23.960 --> 01:13:25.960]  And you have to simplify this.
[01:13:25.960 --> 01:13:27.960]  And when you are simplifying,
[01:13:27.960 --> 01:13:30.960]  the laws which are to be used is given here.
[01:13:30.960 --> 01:13:32.960]  Distributive and inverse law will be used.
[01:13:32.960 --> 01:13:37.960]  And using those two laws, you can get this output.
[01:13:37.960 --> 01:13:45.960]  Similarly, there is this demogance law q equal to not A plus B q equal to three times.
[01:13:45.960 --> 01:13:48.960]  It's I don't know why three times that is coming.
[01:13:48.960 --> 01:14:02.960]  Next step is q equals A bar dot B bar.
[01:14:02.960 --> 01:14:05.960]  Yeah.
[01:14:05.960 --> 01:14:10.960]  So I will correct this and re upload because this PDF has gone into that folder.
[01:14:10.960 --> 01:14:23.960]  So I will correct all these examples and put them there.
[01:14:23.960 --> 01:14:25.960]  I think I added few few more examples.
[01:14:25.960 --> 01:14:28.960]  Let me see.
[01:14:28.960 --> 01:14:35.960]  It should be later.
[01:14:35.960 --> 01:14:39.960]  Here, it starts actually from here expression A plus A dot B.
[01:14:39.960 --> 01:14:43.960]  Now, okay, this is the actual format of the question from I B paper.
[01:14:43.960 --> 01:14:46.960]  They will give you the expression like this A plus A dot B,
[01:14:46.960 --> 01:14:47.960]  which is very simple.
[01:14:47.960 --> 01:14:49.960]  I have started with a very simple example.
[01:14:49.960 --> 01:14:53.960]  And then they are saying that laws that can be used in solving this problem are these.
[01:14:53.960 --> 01:14:55.960]  So they have given different laws.
[01:14:55.960 --> 01:14:59.960]  But if you have not already practiced how to simplify the Boolean expressions,
[01:14:59.960 --> 01:15:02.960]  and if you will depend directly on what laws are given,
[01:15:02.960 --> 01:15:05.960]  it may take you a lot of time to apply.
[01:15:05.960 --> 01:15:10.960]  So I strongly recommend that solve just practice of few examples,
[01:15:10.960 --> 01:15:14.960]  which could be helpful to you to know how to simplify.
[01:15:14.960 --> 01:15:16.960]  And this is just for the reference purpose.
[01:15:16.960 --> 01:15:18.960]  If you have done even enough practices,
[01:15:18.960 --> 01:15:23.960]  you don't even need to look at these laws, which are given here.
[01:15:24.960 --> 01:15:25.960]  Now here are the steps.
[01:15:25.960 --> 01:15:29.960]  So we started with A plus A dot B, which is the given expression.
[01:15:29.960 --> 01:15:33.960]  Step number two, A dot 1 plus A dot B.
[01:15:33.960 --> 01:15:37.960]  So that is identity law that if you multiply any variable by one,
[01:15:37.960 --> 01:15:40.960]  the output is the same variable.
[01:15:40.960 --> 01:15:43.960]  So A dot 1 plus A dot B, that's the second law.
[01:15:43.960 --> 01:15:49.960]  Then we are taking A as common and 1 plus B goes in the bracket.
[01:15:49.960 --> 01:15:51.960]  1 plus B is 1.
[01:15:51.960 --> 01:15:53.960]  So A dot 1 is A.
[01:15:53.960 --> 01:15:56.960]  And we are writing the names of each law, which is not needed in the exam.
[01:15:56.960 --> 01:15:59.960]  This is just for the explanation purpose for your reference.
[01:15:59.960 --> 01:16:03.960]  In the exam, you will write only these steps for the simplification.
