[12:04.000 --> 12:12.000]  After the week
[41:37.000 --> 41:39.000]  So I will set that on the higher priority, right?
[41:39.000 --> 41:40.000]  Yeah.
[41:40.000 --> 41:41.000]  Fine.
[41:41.000 --> 41:42.000]  Who else?
[41:42.000 --> 41:43.000]  Me too.
[41:43.000 --> 41:48.000]  Yeah, I don't know if it was said or not,
[41:48.000 --> 41:50.000]  because I have a pretty laggy connection,
[41:50.000 --> 41:53.000]  but the difficulty of the actual task and the length of the actual task.
[41:53.000 --> 41:55.000]  So maybe we have concurrent tasks.
[41:55.000 --> 41:58.000]  So something started together on the same day.
[41:58.000 --> 42:02.000]  But a longer task would need to have a higher priority.
[42:02.000 --> 42:04.000]  So we could also have this as a minute.
[42:04.000 --> 42:05.000]  Absolutely.
[42:05.000 --> 42:06.000]  Absolutely.
[42:06.000 --> 42:09.000]  So that is a very good input that depending on how much time you have to spend,
[42:09.000 --> 42:13.000]  you have to spread your work from this date until the final submission.
[42:13.000 --> 42:16.000]  And some of them may require more time as compared to the others.
[42:16.000 --> 42:20.000]  So obviously you will give more priority to the task that requires higher amount of time.
[42:20.000 --> 42:24.000]  Requirements as compared to those which can be covered maybe just in an R.
[42:24.000 --> 42:26.000]  It can be other way around also.
[42:26.000 --> 42:28.000]  I mean, that's where the perspective come.
[42:28.000 --> 42:33.000]  And that is where you want to check with the client that what would they prefer?
[42:33.000 --> 42:37.000]  Because I would say that if I if I have 20 deadlines coming up in the next one month,
[42:37.000 --> 42:42.000]  I would like to do away with the smaller tasks so that my list is reduced.
[42:42.000 --> 42:47.000]  And then I can focus fully on the remaining tasks where which requires more amount of time.
[42:47.000 --> 42:50.000]  So there may be six or seven, which may just require an hour's effort.
[42:50.000 --> 42:54.000]  So I will finish that so that my checklist goes smaller, right.
[42:54.000 --> 42:58.000]  But it could be other way around that I can leave the smaller task for the last moment.
[42:58.000 --> 43:00.000]  And I can finish the other ones, right.
[43:00.000 --> 43:05.000]  So there could be when you're making a decision, there could be points where you may not take a call.
[43:05.000 --> 43:13.000]  You will have to have clients discretion as to how they would like to have that organized, right.
[43:13.000 --> 43:18.000]  And all this needs to be covered during the inquiring and analyzing stage of the product development.
[43:18.000 --> 43:25.000]  You have to try and find out maximum possible options which are required to be added.
[43:25.000 --> 43:33.000]  So let's do away with the priority. Now what's the next thing that you would consider in solving this problem?
[43:33.000 --> 43:43.000]  Time and priority is done. What are the other factors?
[43:44.000 --> 43:49.000]  Scheduling, scheduling itself, scheduling the task appropriately.
[43:49.000 --> 43:54.000]  So the workload is not exceeded particular limits in a day.
[43:54.000 --> 43:57.000]  Yeah, so that could be a validation.
[43:57.000 --> 44:06.000]  That could be a validation as to how many assignments would you like to have on each day, right.
[44:06.000 --> 44:12.000]  So quite recently, I mean, as the coordinator in my school for diploma program.
[44:12.000 --> 44:17.000]  There was always a big conflict between the number of assignments the students were getting.
[44:17.000 --> 44:22.000]  Each day, because even though we use manage back then, but it is subject specific.
[44:22.000 --> 44:27.000]  So we were not getting a real view of what the students engagement level is.
[44:27.000 --> 44:34.000]  So I came up with a solution, you know, to develop something, not a very difficult project, but a small.
[44:34.000 --> 44:38.000]  I mean, just using the features of spreadsheet to come up with a calendar.
[44:38.000 --> 44:44.000]  So let me load that in the meanwhile Martin, if you could just continue the conversation.
[44:44.000 --> 44:56.000]  Sure. I was going to say, for example, that a factor that is important to take into account is your own or this to an ability to for certain subjects.
[44:56.000 --> 45:01.000]  So the application is to be in a way, developing a way that.
[45:01.000 --> 45:06.000]  For me, as a user can customize the priority level.
[45:06.000 --> 45:18.000]  And not only the priority level, but be able to manage or change as I advance on completing certain tasks, right.
[45:18.000 --> 45:27.000]  Because I have to be able to it cannot be something that is a state in stone, because I can probably schedule a task for a day.
[45:27.000 --> 45:36.000]  And my ability allow me to finish it in an hour, right. So now I have some free time that I can adjust that.
[45:36.000 --> 45:42.000]  My scheduling and the priority to change the priorities of the different tasks that I need to perform.
[45:42.000 --> 45:56.000]  Now, the main user is the student, correct, but who are the stakeholders in developing this particular application? Can anybody help us with that?
[45:57.000 --> 46:10.000]  I think that teachers should be also able to add deadlines.
[46:10.000 --> 46:18.000]  If you want to give a dashboard to the teacher so that they can set up deadlines for each task, right.
[46:18.000 --> 46:21.000]  Yes, for students in their class.
[46:21.000 --> 46:28.000]  Yeah, absolutely. Yes. So that's what kind of requirement. So there's a real word example, which I would like to show you.
[46:28.000 --> 46:38.000]  So we had a similar problem in our school that the we were not able to see on a common window as to how much task students will have for each day of the week.
[46:38.000 --> 46:43.000]  So I came up with the idea of developing something or calendar, something like this.
[46:43.000 --> 46:55.000]  So as you can see in this screen, I created a I created a sheet for the teachers as a master sheet where they would put up the deadline for submissions, right.
[46:55.000 --> 47:09.000]  So this is the master sheet for the teachers where subject wise, they will just put the dates of submissions and these dates will automatically go into the respective calendar, for example here.
[47:09.000 --> 47:12.000]  So it will keep the current date highlighted, which is automated.
[47:12.000 --> 47:18.000]  And then taking from that master sheet, it will automatically bring it over here, right.
[47:18.000 --> 47:24.000]  So so for example, let's see a 13th is econ assessment one, right.
[47:24.000 --> 47:33.000]  So if they change over here to 14th, for example, where is it gone?
[47:34.000 --> 47:41.000]  So econ is 13th and if I change this to let's say 14 November.
[47:41.000 --> 47:49.000]  So when we go back to the main sheet, so you can see here that it has come automatically here on 14 November, right.
[47:49.000 --> 48:02.000]  Now we shared this with the students so that they have a check on the upcoming deadlines and then looking at this, they can then prioritize because on 21st, let's say they have assessments for psychology, they have ESS assessment, they have Burmese literature assessment.
[48:02.000 --> 48:08.000]  And they have schools self study taught SL assessment, so they can choose which one they want to select, right.
[48:08.000 --> 48:11.000]  And these things would come only when the problem appears.
[48:11.000 --> 48:20.000]  So when I saw that there's a problem, I thought that maybe I can develop a calendar like this, where students will be able to see their upcoming deadlines and then they can plan their work accordingly.
[48:20.000 --> 48:30.000]  And this also helped me, there's a validation that as soon as for a student, if the number of assessment goes beyond three, then it prompts the teacher that it cannot be here.
[48:30.000 --> 48:44.000]  You may see a lot of assessments, but then you see this is math AISL math AHL math AHL so these, this means these are not three, but this is just one because one student will have only one of them, right.
[48:44.000 --> 48:51.000]  And then Spanish and Burmese, there will be only one of them and SST A, there will be only one so maximum will be three.
[48:51.000 --> 48:59.000]  So those validation rules have been set up in the system so that the students are not over well with too many assignments.
[48:59.000 --> 49:14.000]  Now these, this is what we have been talking about. So problem statement is basically understanding the problems surrounding you and finding a solution so that the students are able, I mean, so that the solution can be developed in order to meet that problem in a more systematic way using technology.
[49:14.000 --> 49:17.000]  And that's a very, very important stage, right.
[49:17.000 --> 49:29.000]  If I just created a calendar without taking into account that each day students should not have more than three major tasks, then that would be a failure because even though system may be working, but then the client will say what's the, what's the objective.
[49:29.000 --> 49:44.000]  If the system is allowing to have more than three assignments on a single day, so then the purpose is not met. So as a software developer, you have to be very minutely looking at the problem statement in the sense that think about all possible permutations and combinations, right.
[49:44.000 --> 49:57.000]  And when you see that, then you get a better way of developing a solution, which is meeting all the constraints, all the requirements. If you miss on something, it's going to be difficult to add them at a later stage, right.
[49:57.000 --> 50:12.000]  So that's what we discussed last time. I know that all of group three quickly, can you talk about your problem statement, what was it.
[50:12.000 --> 50:17.000]  Group three, any volunteer.
[50:17.000 --> 50:21.000]  So group three, I can tell you who was in group three.
[50:21.000 --> 50:23.000]  Yeah.
[50:23.000 --> 50:35.000]  From Renzo, Alma, Sophia, and Julia, we're in the in group three.
[50:35.000 --> 50:39.000]  Oh, thank you.
[50:39.000 --> 50:52.000]  Well, actually, we've mostly been discussing, there were some connection issues and we barely started the discussion.
[50:52.000 --> 51:00.000]  I think we focused on the first one.
[51:00.000 --> 51:06.000]  I'm not safe.
[51:06.000 --> 51:17.000]  So we're mostly having a discussion, we are recounted real world, real world scenarios were so similar, similar solutions were implemented.
[51:17.000 --> 51:29.000]  And we were sharing our experience as to how the, I don't remember how particular tasks can be approached.
[51:29.000 --> 51:33.000]  Yes.
[51:33.000 --> 51:36.000]  Okay. How task can be approached fine. All right.
[51:36.000 --> 51:43.000]  So what was the outcome of your discussion? If you have to summarize.
[51:43.000 --> 51:50.000]  I think we haven't assigned any role. So it was quite a haptic discussion, which is fine. Yeah.
[51:50.000 --> 51:59.000]  So because we had very limited time, we realized that we closed the room because of the, because of the limitation of the time.
[51:59.000 --> 52:12.000]  But in the future classes, we will plan some good, good amount of time, maybe 10 minutes or 15 minutes for you to be staying in the breakout rooms and then have a thorough discussion and then prepare a reflection, which you will bring for sharing.
[52:12.000 --> 52:16.000]  Eugenia, yeah, please.
[52:16.000 --> 52:21.000]  In the breakout room, we discussed things we could have added to the outcome.
[52:21.000 --> 52:29.000]  So we talked about small aspects, we could input into our final products in order to solve the issue.
[52:29.000 --> 52:31.000]  Right. Okay.
[52:31.000 --> 52:37.000]  Fine. So what is the significance of this task that we did last week?
[52:37.000 --> 52:44.000]  What do you think it is going to be helpful in your IA?
[52:44.000 --> 52:50.000]  And not just the IA, but even for theme B, when we'll start theme B, it is all about solving the given problem. Right.
[52:50.000 --> 52:58.000]  So how is this problem specification going to be helpful? Sorry, I interrupted somebody started speaking. Please go ahead.
[52:58.000 --> 53:08.000]  Okay. So it is, as you said, you apply your knowledge to a practical situation, which is exactly what I is.
[53:08.000 --> 53:18.000]  And I think being able to voice her opinions is a very, very great way to make sure you're actually capable of applying your knowledge.
[53:18.000 --> 53:21.000]  Right. Okay. Fine.
[53:21.000 --> 53:37.000]  Now, just before we move to the next section, would anybody like to share the initial work that they have done in terms of IA proposal, which we will try and connect with the problem statement to show the real significance of what we are doing and why we are doing.
[53:37.000 --> 53:41.000]  Anyone would like to share. Okay.
[53:41.000 --> 53:45.000]  Please go ahead.
[53:45.000 --> 53:49.000]  I mean, I just filled in.
[53:49.000 --> 53:56.000]  So can you share the document and do you have the share rights?
[53:56.000 --> 53:58.000]  What's your email?
[53:58.000 --> 54:04.000]  No, not email. You can just share your screen. Go to the share option up there.
[54:04.000 --> 54:07.000]  Right.
[54:07.000 --> 54:10.000]  Do you see the share option?
[54:10.000 --> 54:12.000]  Yes.
[54:12.000 --> 54:16.000]  Yeah. Yeah. Just open the Google Doc and open your document.
[54:16.000 --> 54:23.000]  It will be helpful for us to stay on track. Just in case if there is any misalignment from what we are expected to do.
[54:23.000 --> 54:28.000]  Okay. So tell us about your project.
[54:28.000 --> 54:34.000]  Right. So this is kind of a niche product.
[54:34.000 --> 54:41.000]  But essentially, I realized that.
[54:41.000 --> 54:49.000]  Your voice is not clear.
[54:49.000 --> 55:01.000]  Maybe it was because you shared your screen or something, I don't know.
[55:01.000 --> 55:02.000]  Is it better?
[55:02.000 --> 55:04.000]  Yeah, it's a better.
[55:04.000 --> 55:07.000]  Okay. So essentially.
[55:07.000 --> 55:18.000]  I noticed like an increase of people wanting to rely less on like big tech companies like Google and Microsoft and touch.
[55:18.000 --> 55:28.000]  But the issue is that they have a lot of cloud services that are really helpful.
[55:28.000 --> 55:35.000]  I don't know. It's not clear. I'm riddled. Is it just for me or anybody else not able to hear?
[55:35.000 --> 55:37.000]  It's hard to hear.
[55:37.000 --> 55:39.000]  Yeah, it's hard to hear.
[55:39.000 --> 55:44.000]  The same for me.
[55:44.000 --> 55:46.000]  Okay, I'm ready to do one thing.
[55:46.000 --> 55:52.000]  First, you scroll through the document so that we very quickly read it and then you can unshare and talk about it.
[55:52.000 --> 55:54.000]  I think it is something to do with the sharing.
[55:54.000 --> 55:58.000]  So just share your screen again. You don't have to talk while you're sharing.
[55:58.000 --> 56:07.000]  Let's go through the document quickly.
[56:07.000 --> 56:11.000]  Okay. Wait, not so fast. Not so fast.
[56:11.000 --> 56:13.000]  Okay, so fine.
[56:13.000 --> 56:17.000]  So your title of the project is Docker composer.
[56:17.000 --> 56:19.000]  What interests you to choose this project?
[56:19.000 --> 56:21.000]  Three hate for tech company.
[56:21.000 --> 56:22.000]  What's that?
[56:22.000 --> 56:29.000]  T hate for tech companies that exploit the customer for profit.
[56:29.000 --> 56:31.000]  Okay, who is the intended user?
[56:31.000 --> 56:34.000]  Someone trying to get into self hosting.
[56:34.000 --> 56:36.000]  Provide.
[56:36.000 --> 56:45.000]  Where's the product going? What is the program? Provide one click solution to deploy a home lab while being modular and customizable.
[56:45.000 --> 56:48.000]  Program is python and backend is Docker.
[56:48.000 --> 56:55.000]  Okay. Now, just before you talk about it, students, I would like to hear from you.
[56:55.000 --> 56:59.000]  What are your views with regard to the problem specification that is given here?
[56:59.000 --> 57:04.000]  Does it have enough details for you to really understand the nature of project?
[57:04.000 --> 57:07.000]  It is not, you know, it's not a feedback.
[57:07.000 --> 57:17.000]  It is just that we are trying to give you enough information so that your first submission itself should have enough information for us to provide you with meaningful feedback.
[57:17.000 --> 57:20.000]  Right. Now, you have certain ideas in mind.
[57:20.000 --> 57:23.000]  You are very clear with what you are trying to do.
[57:23.000 --> 57:31.000]  But when you are submitting it for the feedback, we also need to have similar kind of idea that you have developed within your brain, right?
[57:31.000 --> 57:36.000]  And for that, you have to explain it to us in such a way that we know nothing about this system.
[57:36.000 --> 57:43.000]  So there has to be more explanation about each part for you to explain to us that what is the purpose of this project?
[57:43.000 --> 57:48.000]  What it is doing? Who are the stakeholders and what objectives you have from this project? Right.
[57:48.000 --> 57:54.000]  So what are your views? Like you just looked at marital, which is still draft. I know it's not a final thing.
[57:54.000 --> 57:58.000]  But what suggestions would you give to marital?
[57:58.000 --> 58:01.000]  Anyone?
[58:01.000 --> 58:05.000]  And this is what is the purpose of the discussion this week.
[58:05.000 --> 58:08.000]  We have started. We have put a new discussion in week eight.
[58:08.000 --> 58:14.000]  Sorry, week nine, where you are going to discuss with each other as to what your project idea is and.
[58:14.000 --> 58:20.000]  So what are the strengths and weaknesses that you find as a peer? Yes, sorry, please go ahead.
[58:20.000 --> 58:27.000]  Yes, personally, I didn't really understand the problem perhaps in its fullest.
[58:27.000 --> 58:38.000]  So the self interest is as far as understood the hate speech right in regard to the tech companies, big tech companies.
[58:38.000 --> 58:44.000]  The problem I think it's not really clear perhaps.
[58:44.000 --> 58:46.000]  Yeah.
[58:46.000 --> 58:51.000]  Yes, maybe it can be elaborated upon so that.
[58:51.000 --> 58:53.000]  I'm sure.
[58:53.000 --> 58:56.000]  And the intention overall intentions.
[58:56.000 --> 59:03.000]  Yeah, absolutely. And I'm sure Miraduley is still working on it and he was he just showed it to us as a sample.
[59:03.000 --> 59:12.000]  It needs to be very clearly defined here for us to go through it and provide you with some feedback as to whether you should go ahead with it or you should make some changes.
[59:12.000 --> 59:22.000]  And when you're taking a topic like this, which involves big companies like Google or Microsoft, please be little mindful that you should not end up.
[59:22.000 --> 59:31.000]  Saying something about them, which may be subjective because when the moderators will get your project for marking, they may not agree with your point of view.
[59:31.000 --> 59:42.000]  So even if you have some companies name in mind, please don't put them into the written document, just make a generic product that this is about some company, which.
[59:42.000 --> 59:53.000]  Which I have read in some articles is following this kind of practices and my application would be helpful in determining those shortcomings, right.
[59:53.000 --> 59:58.000]  So, so keep it open and there, rather than naming some specific companies, right.
[59:58.000 --> 01:00:02.000]  Anyone else if you can.
[01:00:02.000 --> 01:00:07.000]  Yeah, no, please go ahead. I said, yes, sure.
[01:00:07.000 --> 01:00:16.000]  I said, you may leave, but don't forget to watch the recording later because we'll be we are going to discuss some important stuff today.
[01:00:16.000 --> 01:00:30.000]  I hope you all have marked your attendance. I see 24 22 students. So please mark your attendance. If not already done, I'm again pasting the link to the attendance.
[01:00:30.000 --> 01:00:35.000]  Namu, please go ahead. So I share my screen. Yeah, sure.
[01:00:46.000 --> 01:00:55.000]  And how do I share my screen?
[01:00:55.000 --> 01:01:04.000]  There's a share option on the top right just before leave button. Click on that and then select your whole screen.
[01:01:04.000 --> 01:01:19.000]  On the right. So there's an option called entire screen select that and then click on the window and then share.
[01:01:19.000 --> 01:01:26.000]  What do you see when you click on share share on this is a camera options.
[01:01:26.000 --> 01:01:29.000]  Yeah, next.
[01:01:29.000 --> 01:01:38.000]  Left to the left or the camera icon. Click on on and not a drop down menu, but click on the actual icon share.
[01:01:38.000 --> 01:01:41.000]  Yes.
[01:01:41.000 --> 01:01:49.000]  And then select entire screen and then click on that screen, which appears and then share button will be active.
[01:01:49.000 --> 01:01:55.000]  Okay.
[01:01:55.000 --> 01:02:05.000]  So by the time the sharing starts, this is a this is again a reminder that when you're making a problem statement in the proposal, please make sure that you give enough details.
[01:02:05.000 --> 01:02:12.000]  Thinking that the person who are whom you are trying to explain your problem to is not a tech person, right.
[01:02:12.000 --> 01:02:17.000]  You have a lot of ideas in your mind. Think you will think that even if you write a little bit, the person will understand now.
[01:02:17.000 --> 01:02:23.000]  Don't keep that mindset. Think that you're writing it for your grandfather, probably who knows nothing about computers.
[01:02:23.000 --> 01:02:28.000]  So if they can understand, we can understand as well.
[01:02:28.000 --> 01:02:32.000]  I should restart from the share.
[01:02:32.000 --> 01:02:35.000]  Okay, leave it. I think leave it now.
[01:02:35.000 --> 01:02:44.000]  Anyone else. Just one example we want to see before moving on.
[01:02:44.000 --> 01:02:50.000]  It's okay. If not, probably next week we can have a look at some because we will have the books submitted.
[01:02:50.000 --> 01:02:55.000]  So we will find out a few good examples and we will share them with you. That's okay. It's fine.
[01:02:55.000 --> 01:03:02.000]  Okay. So it's almost one hour and so let's get on to today's lesson content.
[01:03:02.000 --> 01:03:04.000]  So I'm going to share my screen.
[01:03:04.000 --> 01:03:11.000]  Rash, give me one second. I just want to make a comment about how important it is to receive feedback from each other.
[01:03:11.000 --> 01:03:17.000]  I was reading. I was reading some of your problem specifications for the community recycle hub.
[01:03:17.000 --> 01:03:24.000]  And it's really nice to see that some of you are communicating with each other and giving feedback in.
[01:03:24.000 --> 01:03:30.000]  If you choose to go into a professional related with computer science, you're not going to work by yourself.
[01:03:30.000 --> 01:03:39.000]  You usually are going to work with the team of people and that team of people are going to give you feedback about whatever task you're assigned to.
[01:03:39.000 --> 01:03:47.000]  Okay. So this is actually a good practice. So whenever you have the chance to provide feedback or receive feedback.
[01:03:47.000 --> 01:03:52.000]  Just make sure that you receive if you receive feedback. Just make sure that you receive with an open mind.
[01:03:52.000 --> 01:03:57.000]  Most of the feedback that I saw is very positive and encouraging.
[01:03:57.000 --> 01:04:00.000]  But don't be afraid to maybe critique.
[01:04:00.000 --> 01:04:03.000]  Absolutely. Just to help and grow.
[01:04:03.000 --> 01:04:06.000]  Okay. You would actually be helping them by doing so.
[01:04:06.000 --> 01:04:13.000]  Yeah. Yeah. And anyway, all the interactions that I was able to read are very good interaction, very good insights.
[01:04:13.000 --> 01:04:23.000]  So I just encourage you to to create that environment where you can, you know, share ideas and be okay with anything back that you receive.
[01:04:23.000 --> 01:04:30.000]  Absolutely. Yeah. I mean, write the good things that you found about the project about the idea, but also at the same time as Martin said.
[01:04:30.000 --> 01:04:39.000]  If you see some scope of improvement, do not hesitate to write that because everybody will take that very positively because just if we say just say, Oh, it's very nice idea.
[01:04:39.000 --> 01:04:42.000]  I really liked it. That's not helping anyone. Right.
[01:04:42.000 --> 01:04:45.000]  So it would be better if you can think about that.
[01:04:45.000 --> 01:04:50.000]  If you were in place of that student for whom you are giving a feedback.
[01:04:50.000 --> 01:04:55.000]  What other things you could have added to make it more intuitive and more useful.
[01:04:55.000 --> 01:04:58.000]  Problem specification or the project proposal.
[01:04:58.000 --> 01:05:00.000]  So be open minded.
[01:05:00.000 --> 01:05:04.000]  Give as much as ideas as you can give and expect the same from others also.
[01:05:04.000 --> 01:05:07.000]  Right. Okay. So now going back to the subject guide quickly.
[01:05:07.000 --> 01:05:09.000]  So we are going to cover today.
[01:05:09.000 --> 01:05:12.000]  Describe the fundamental concepts of computational thinking.
[01:05:12.000 --> 01:05:15.000]  So we are talking about the importance of computational thinking.
[01:05:15.000 --> 01:05:19.000]  What it comprises of like it's a way of it's a computer computerized way of thinking.
[01:05:19.000 --> 01:05:24.000]  Like how a computer would solve a problem and computer solves the problems in the systematic step by step.
[01:05:24.000 --> 01:05:30.000]  And this whole chapter is all about that thinking in the in the way that the computer would think.
[01:05:30.000 --> 01:05:32.000]  So computational thinking.
[01:05:32.000 --> 01:05:37.000]  And this comprises of four different steps, which is abstraction algorithmic design decomposition and pattern recognition.
[01:05:37.000 --> 01:05:44.000]  And that's what you can find in the palm of your content as well as the document that we have created for you.
[01:05:44.000 --> 01:05:47.000]  So I will show you that shortly.
[01:05:47.000 --> 01:05:57.000]  And then B 1.1.3 is explain how applying computational thinking or fundamental concepts is used to approach and solve problems in computer science.
[01:05:57.000 --> 01:06:02.000]  So it says that the computational thinking does not necessarily involve programming.
[01:06:02.000 --> 01:06:04.000]  This is something very important.
[01:06:04.000 --> 01:06:07.000]  Right. The programming comes much later.
[01:06:07.000 --> 01:06:13.000]  It's much later. It's almost the last phase of this entire project development cycle.
[01:06:13.000 --> 01:06:18.000]  A lot of time is spent in stage one stage to when you analyze a problem.
[01:06:18.000 --> 01:06:21.000]  You think about a possible solution and your designer solution.
[01:06:21.000 --> 01:06:24.000]  That takes majority of time in the whole project development.
[01:06:24.000 --> 01:06:30.000]  And if you have done justification to these two steps, then the programming becomes child's game.
[01:06:30.000 --> 01:06:32.000]  Anybody can program it.
[01:06:32.000 --> 01:06:36.000]  Right. So therefore computational thinking does not necessarily involve programming.
[01:06:36.000 --> 01:06:40.000]  It is toolkit of available techniques for problem solving.
[01:06:40.000 --> 01:06:48.000]  Real word examples may include software development data analysis machine learning database design and network security.
[01:06:48.000 --> 01:06:53.000]  So programming alone is not actually constitutes computational thinking.
[01:06:53.000 --> 01:06:55.000]  It can be applied in many different fields.
[01:06:55.000 --> 01:06:59.000]  For example, for the data analysis that may require computational thinking.
[01:06:59.000 --> 01:07:01.000]  Right. Machine learning.
[01:07:01.000 --> 01:07:05.000]  That is all about computational thinking database design and network security.
[01:07:05.000 --> 01:07:11.000]  So these all also can contribute towards the computational thinking process.
[01:07:11.000 --> 01:07:13.000]  And the next part is the flow chart.
[01:07:13.000 --> 01:07:14.000]  So flow chart.
[01:07:14.000 --> 01:07:28.000]  We will talk about it once it comes, but then this is something about showcasing your algorithmic thinking or the flow of control from one part to another in a pictorial representation form in a graphics format.
[01:07:29.000 --> 01:07:34.000]  So you are showcasing your algorithm or the flow of control within the program in a graphical format.
[01:07:34.000 --> 01:07:36.000]  That is what the flow chart is.
[01:07:36.000 --> 01:07:38.000]  And for the standard flow charts, we have couple of symbols.
[01:07:38.000 --> 01:07:47.000]  Although there are many that you will use in your IA, but for the general flow chart creation, you need couple of symbols.
[01:07:47.000 --> 01:07:55.000]  For example, input output box process slash operation box start and decision making.
[01:07:55.000 --> 01:07:58.000]  So these are the four majorly used.
[01:07:58.000 --> 01:08:03.000]  Some of you have already done the flow charts in the past, but for those who are doing it for the first time.
[01:08:03.000 --> 01:08:10.000]  It's a pictorial representation of the flow of control or the algorithmic aspect of the given problem.
[01:08:10.000 --> 01:08:16.000]  Flow charts for execution flow to track changes in variables and to determine the output.
[01:08:16.000 --> 01:08:18.000]  So this is something which will come in the exam.
[01:08:18.000 --> 01:08:20.000]  They will give you a flow chart.
[01:08:20.000 --> 01:08:21.000]  Right.
[01:08:21.000 --> 01:08:26.000]  And then they will ask you to write the output or make a trace table.
[01:08:26.000 --> 01:08:30.000]  So we'll have a look at the sample paper to see what kind of question comes from this.
[01:08:30.000 --> 01:08:31.000]  Right.
[01:08:31.000 --> 01:08:36.000]  So now going back to the to the chapter in the document.
[01:08:36.000 --> 01:08:44.000]  It's not something very difficult because it's more theoretical section before moving on to the real programming.
[01:08:44.000 --> 01:08:48.000]  Now this lesson explores four key concepts of the computational thinking.
[01:08:48.000 --> 01:08:49.000]  One is abstraction.
[01:08:49.000 --> 01:08:52.000]  I think we discussed last time very briefly about what abstraction means.
[01:08:52.000 --> 01:08:56.000]  Can somebody recall what is abstraction?
[01:08:56.000 --> 01:08:59.000]  Removing unnecessary details.
[01:08:59.000 --> 01:09:06.000]  Yeah, removing unnecessary details and extracting only those that we may be concerned about.
[01:09:06.000 --> 01:09:09.000]  Like I talked about last time that if I'm looking at my laptop,
[01:09:09.000 --> 01:09:14.000]  I'm least concerned about how the CPU is working, how the memory is storing information,
[01:09:14.000 --> 01:09:18.000]  how the registers are working, what the buses are doing, what operating system is doing,
[01:09:18.000 --> 01:09:23.000]  what I'm only interested in seeing is my screen and the image on the screen.
[01:09:23.000 --> 01:09:26.000]  Similarly, I just want to see the keyboards, how those keyboards,
[01:09:26.000 --> 01:09:29.000]  boards are kind of sending the inputs to the system.
[01:09:29.000 --> 01:09:30.000]  I'm least bothered about that.
[01:09:30.000 --> 01:09:38.000]  So abstraction is a process of looking at only the necessary information and hiding the other complexities,
[01:09:38.000 --> 01:09:42.000]  which we may not be interested in.
[01:09:43.000 --> 01:09:46.000]  As you can see here, the example, when you use Google Maps,
[01:09:46.000 --> 01:09:49.000]  you don't see every tree or building.
[01:09:49.000 --> 01:09:55.000]  You can see it, but we generally hide it because our purpose is not to see the houses and trees across the streets,
[01:09:55.000 --> 01:10:01.000]  but we want to just see a clear road map using which we can drive the vehicle.
[01:10:01.000 --> 01:10:05.000]  So that is called abstraction that we have we we opt for a map,
[01:10:05.000 --> 01:10:09.000]  which only shows us the streets, right, hiding the other areas.
[01:10:09.000 --> 01:10:12.000]  So that is called abstraction.
[01:10:12.000 --> 01:10:21.000]  Then in terms of computing, when you call a built-in function like print or system.out.println to print something,
[01:10:21.000 --> 01:10:25.000]  you are least interested in knowing that what is there in the backend,
[01:10:25.000 --> 01:10:29.000]  how this particular function is working to display something on the screen.
[01:10:29.000 --> 01:10:34.000]  What we want to see is that whatever we write here within the parenthesis should come on the screen,
[01:10:34.000 --> 01:10:36.000]  that is our objective, right.
[01:10:36.000 --> 01:10:40.000]  So we don't really want to see that what how this function is built,
[01:10:40.000 --> 01:10:44.000]  what are what are instructions are written in the function that remains hidden.
[01:10:44.000 --> 01:10:50.000]  So utilizing or looking at the information which is meant for us or which is which we are interested in,
[01:10:50.000 --> 01:10:54.000]  hiding the other complexities is called abstraction.
[01:10:54.000 --> 01:11:01.000]  Why it matters reduces unnecessary complexity in programs, right.
[01:11:01.000 --> 01:11:06.000]  So if we start showing everything, it's not that we cannot show everything.
[01:11:06.000 --> 01:11:15.000]  Like if you are accessing some database, let's say you want to extract the report of your grade 11 students on the screen, right.
[01:11:15.000 --> 01:11:19.000]  We only look at the serial number name, first name, middle name, last name, right.
[01:11:19.000 --> 01:11:23.000]  Maybe date of birth, that's the information we are able to see.
[01:11:23.000 --> 01:11:26.000]  It's not that we cannot show that how it is stored in the backend.
[01:11:26.000 --> 01:11:31.000]  We can have half of the screen reserved for showcasing the data structure that,
[01:11:31.000 --> 01:11:38.000]  okay, for the name, we have taken a text type of data type whose length is maximum 40.
[01:11:38.000 --> 01:11:41.000]  We can display that, but is it going to help us on our screen?
[01:11:41.000 --> 01:11:49.000]  No, it is actually occupying half of the screen which could actually be used for showcasing other parts of the data that I'm interested in.
[01:11:49.000 --> 01:11:53.000]  So it's not that we cannot show it, but we don't show it because it's not needed.
[01:11:53.000 --> 01:11:57.000]  And therefore it reduces unnecessary complexity in the programs.
[01:11:57.000 --> 01:12:02.000]  Make systems easier to understand and maintain because we are not looking at the backend things.
[01:12:02.000 --> 01:12:07.000]  We are just looking at the front saves time by focusing only on the relevant components.
[01:12:07.000 --> 01:12:14.000]  So we are not interested in looking at unnecessary things, which means we are able to focus only on relevant components, right.
[01:12:14.000 --> 01:12:22.000]  Imagine if you are driving a car and your Google maps start showing you every building on the sides of the road,
[01:12:22.000 --> 01:12:26.000]  you would be inclined to read what this building is all about.
[01:12:26.000 --> 01:12:29.000]  Let's say it shows a building and it shows the name that what this building is.
[01:12:29.000 --> 01:12:31.000]  You may get distracted, right.
